RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	2.841568	5.323283	0	0	460.000000	0.000000	0.000000
1	1	0	0	0	4	0	3.216520	4.526475	0	0	506.000000	0.000000	0.000000
2	2	0	0	0	4	0	3.371184	4.140751	0	0	563.000000	0.000000	0.000000
3	3	0	0	0	4	0	3.392000	4.381134	0	0	552.000000	0.000000	0.000000
4	4	0	0	0	4	0	3.276012	4.876239	0	0	514.000000	0.000000	0.000000
5	5	0	0	0	4	0	3.100491	5.190124	0	0	486.000000	0.000000	0.000000
6	6	0	0	0	4	0	2.895148	5.255231	0	0	461.000000	0.000000	0.000000
7	7	0	0	0	4	0	2.915983	5.042102	0	0	458.000000	0.000000	0.000000
8	8	0	0	0	4	0	3.154046	4.446396	0	0	497.000000	0.000000	0.000000
9	9	0	0	0	4	0	3.249242	4.209023	0	0	550.000000	0.000000	0.000000
10	10	0	0	0	4	0	3.320626	4.716221	0	0	529.000000	0.000000	0.000000
11	11	0	0	0	4	0	3.219495	4.985837	0	0	497.000000	0.000000	0.000000
12	12	0	0	0	4	0	3.017173	5.293697	0	0	460.000000	0.000000	0.000000
13	13	0	0	0	4	0	2.859428	5.302574	0	0	438.000000	0.000000	0.000000
14	14	0	0	0	4	0	2.877289	4.965105	0	0	455.000000	0.000000	0.000000
15	15	0	0	0	4	0	3.219495	4.597642	0	0	493.000000	0.000000	0.000000
16	16	0	0	0	4	0	3.371184	4.393000	0	0	545.000000	0.000000	0.000000
17	17	0	0	0	4	0	3.299807	4.772532	0	0	511.000000	0.000000	0.000000
18	18	0	0	0	4	0	3.159997	5.104280	0	0	476.000000	0.000000	0.000000
19	19	0	0	0	4	0	2.972533	5.264108	0	0	456.000000	0.000000	0.000000
20	20	0	0	0	4	0	2.779052	5.249313	0	0	438.000000	0.000000	0.000000
21	21	0	0	0	4	0	2.710573	3.909135	0	0	490.000000	0.000000	0.000000
22	22	0	0	0	4	0	0.450598	1.112949	0	0	561.000000	0.000000	0.000000
23	23	0	0	0	4	0	0.011936	0.966774	0	0	542.000000	0.000000	0.000000
24	24	0	0	0	4	0	-0.253652	1.348589	0	0	502.000000	0.000000	0.000000
25	25	0	0	0	4	0	-0.569954	1.482794	0	0	490.000000	0.000000	0.000000
26	26	0	0	0	4	0	-0.650518	1.423150	0	0	489.000000	0.000000	0.000000
27	27	0	0	0	4	0	-0.238731	0.626648	0	0	511.000000	0.000000	0.000000
28	28	0	0	0	4	0	-0.134287	0.316317	0	0	545.000000	0.000000	0.000000
29	29	0	0	0	4	0	0.116382	0.462534	0	0	557.000000	0.000000	0.000000
30	30	0	0	0	4	0	-0.185017	1.145763	0	0	524.000000	0.000000	0.000000
31	31	0	0	0	4	0	-0.438663	1.387361	0	0	512.000000	0.000000	0.000000
32	32	0	0	0	4	0	-0.528181	1.429114	0	0	497.000000	0.000000	0.000000
33	33	0	0	0	4	0	-0.593826	1.318764	0	0	506.000000	0.000000	0.000000
34	34	0	0	0	4	0	-0.316317	0.725111	0	0	536.000000	0.000000	0.000000
35	35	0	0	0	4	0	0.056699	0.325269	0	0	576.000000	0.000000	0.000000
36	36	0	0	0	4	0	-0.074604	0.719144	0	0	569.000000	0.000000	0.000000
37	37	0	0	0	4	0	-0.286476	1.190506	0	0	547.000000	0.000000	0.000000
38	38	0	0	0	4	0	-0.513261	1.461919	0	0	528.000000	0.000000	0.000000
39	39	0	0	0	4	0	-0.504310	1.339641	0	0	519.000000	0.000000	0.000000
40	40	0	0	0	4	0	-0.444631	1.187523	0	0	520.000000	0.000000	0.000000
41	41	0	0	0	4	0	-0.071620	0.483422	0	0	576.000000	0.000000	0.000000
42	42	0	0	0	4	0	-0.152191	0.671404	0	0	601.000000	0.000000	0.000000
43	43	0	0	0	4	0	-0.113397	1.050305	0	0	586.000000	0.000000	0.000000
44	44	0	0	0	4	0	-0.444631	1.479812	0	0	558.000000	0.000000	0.000000
45	45	0	0	0	4	0	-0.668421	1.772023	0	0	535.000000	0.000000	0.000000
46	46	0	0	0	4	0	-0.671404	1.664690	0	0	542.000000	0.000000	0.000000
47	47	0	0	0	4	0	-0.516244	1.175592	0	0	559.000000	0.000000	0.000000
48	48	0	0	0	4	0	-0.137270	0.638583	0	0	599.000000	0.000000	0.000000
49	49	0	0	0	4	0	-0.164128	0.754947	0	0	603.000000	0.000000	0.000000
50	50	0	0	0	4	0	-0.364062	1.229284	0	0	587.000000	0.000000	0.000000
51	51	0	0	0	4	0	-0.575922	1.605055	0	0	553.000000	0.000000	0.000000
52	52	0	0	0	4	0	-0.671404	1.539454	0	0	546.000000	0.000000	0.000000
53	53	0	0	0	4	0	-0.734061	1.536471	0	0	537.000000	0.000000	0.000000
54	54	0	0	0	4	0	-0.423743	0.975725	0	0	564.000000	0.000000	0.000000
55	55	0	0	0	4	0	-0.110414	0.474470	0	0	607.000000	0.000000	0.000000
56	56	0	0	0	4	0	-0.149207	0.877273	0	0	599.000000	0.000000	0.000000
57	57	0	0	0	4	0	-0.426726	1.396308	0	0	565.000000	0.000000	0.000000
58	58	0	0	0	4	0	-0.680355	1.772023	0	0	520.000000	0.000000	0.000000
59	59	0	0	0	4	0	-0.743014	1.769041	0	0	516.000000	0.000000	0.000000
60	60	0	0	0	4	0	-0.435678	1.229284	0	0	529.000000	0.000000	0.000000
61	61	0	0	0	4	0	-0.325270	0.933958	0	0	560.000000	0.000000	0.000000
62	62	0	0	0	4	0	-0.077587	0.689307	0	0	578.000000	0.000000	0.000000
