RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	-0.167111	-0.253652	0	0	1581.000000	0.000000	0.000000
1	1	0	0	0	4	0	-0.125335	-0.268572	0	0	1583.000000	0.000000	0.000000
2	2	0	0	0	4	0	-0.137270	-0.250667	0	0	1582.000000	0.000000	0.000000
3	3	0	0	0	4	0	-0.107429	-0.214859	0	0	1574.000000	0.000000	0.000000
4	4	0	0	0	4	0	-0.155176	-0.190985	0	0	1579.000000	0.000000	0.000000
5	5	0	0	0	4	0	-0.128318	-0.155176	0	0	1570.000000	0.000000	0.000000
6	6	0	0	0	4	0	-0.190986	-0.220826	0	0	1580.000000	0.000000	0.000000
7	7	0	0	0	4	0	-0.164128	-0.208890	0	0	1572.000000	0.000000	0.000000
8	8	0	0	0	4	0	-0.164128	-0.238731	0	0	1574.000000	0.000000	0.000000
9	9	0	0	0	4	0	-0.199938	-0.295429	0	0	1577.000000	0.000000	0.000000
10	10	0	0	0	4	0	-0.131303	-0.244700	0	0	1562.000000	0.000000	0.000000
11	11	0	0	0	4	0	-0.182032	-0.292444	0	0	1575.000000	0.000000	0.000000
12	12	0	0	0	4	0	-0.155176	-0.283492	0	0	1571.000000	0.000000	0.000000
13	13	0	0	0	4	0	-0.182032	-0.307365	0	0	1575.000000	0.000000	0.000000
14	14	0	0	0	4	0	-0.190986	-0.313333	0	0	1573.000000	0.000000	0.000000
15	15	0	0	0	4	0	-0.149207	-0.232762	0	0	1567.000000	0.000000	0.000000
16	16	0	0	0	4	0	-0.188001	-0.277524	0	0	1576.000000	0.000000	0.000000
17	17	0	0	0	4	0	-0.128318	-0.247683	0	0	1565.000000	0.000000	0.000000
18	18	0	0	0	4	0	-0.170097	-0.283492	0	0	1575.000000	0.000000	0.000000
19	19	0	0	0	4	0	-0.182032	-0.313333	0	0	1570.000000	0.000000	0.000000
20	20	0	0	0	4	0	-0.143239	-0.286477	0	0	1566.000000	0.000000	0.000000
21	21	0	0	0	4	0	-0.134287	-0.277524	0	0	1567.000000	0.000000	0.000000
22	22	0	0	0	4	0	-0.110414	-0.256636	0	0	1558.000000	0.000000	0.000000
23	23	0	0	0	4	0	-0.149207	-0.274541	0	0	1569.000000	0.000000	0.000000
24	24	0	0	0	4	0	-0.101462	-0.256636	0	0	1558.000000	0.000000	0.000000
25	25	0	0	0	4	0	-0.140255	-0.253652	0	0	1564.000000	0.000000	0.000000
26	26	0	0	0	4	0	-0.113397	-0.202921	0	0	1557.000000	0.000000	0.000000
27	27	0	0	0	4	0	-0.128318	-0.190985	0	0	1557.000000	0.000000	0.000000
28	28	0	0	0	4	0	-0.116383	-0.208890	0	0	1555.000000	0.000000	0.000000
29	29	0	0	0	4	0	-0.083556	-0.202921	0	0	1546.000000	0.000000	0.000000
30	30	0	0	0	4	0	-0.125335	-0.217842	0	0	1553.000000	0.000000	0.000000
31	31	0	0	0	4	0	-0.098477	-0.202921	0	0	1542.000000	0.000000	0.000000
32	32	0	0	0	4	0	-0.134287	-0.217842	0	0	1552.000000	0.000000	0.000000
33	33	0	0	0	4	0	-0.113397	-0.193969	0	0	1547.000000	0.000000	0.000000
34	34	0	0	0	4	0	-0.122349	-0.214859	0	0	1548.000000	0.000000	0.000000
35	35	0	0	0	4	0	-0.137270	-0.223811	0	0	1548.000000	0.000000	0.000000
36	36	0	0	0	4	0	-0.116383	-0.188001	0	0	1540.000000	0.000000	0.000000
37	37	0	0	0	4	0	-0.140255	-0.205906	0	0	1545.000000	0.000000	0.000000
38	38	0	0	0	4	0	-0.095493	-0.196954	0	0	1534.000000	0.000000	0.000000
39	39	0	0	0	4	0	-0.143239	-0.205906	0	0	1543.000000	0.000000	0.000000
40	40	0	0	0	4	0	-0.134287	-0.202921	0	0	1537.000000	0.000000	0.000000
41	41	0	0	0	4	0	-0.143239	-0.235747	0	0	1543.000000	0.000000	0.000000
42	42	0	0	0	4	0	-0.119366	-0.235747	0	0	1540.000000	0.000000	0.000000
43	43	0	0	0	4	0	-0.116383	-0.214859	0	0	1530.000000	0.000000	0.000000
44	44	0	0	0	4	0	-0.107429	-0.244700	0	0	1544.000000	0.000000	0.000000
45	45	0	0	0	4	0	-0.113397	-0.185017	0	0	1535.000000	0.000000	0.000000
46	46	0	0	0	4	0	-0.152191	-0.179049	0	0	1536.000000	0.000000	0.000000
47	47	0	0	0	4	0	-0.104445	-0.158159	0	0	1533.000000	0.000000	0.000000
48	48	0	0	0	4	0	-0.131303	-0.196954	0	0	1530.000000	0.000000	0.000000
49	49	0	0	0	4	0	-0.155176	-0.199938	0	0	1532.000000	0.000000	0.000000
50	50	0	0	0	4	0	-0.104445	-0.176064	0	0	1524.000000	0.000000	0.000000
51	51	0	0	0	4	0	-0.140255	-0.179049	0	0	1531.000000	0.000000	0.000000
52	52	0	0	0	4	0	-0.107429	-0.158159	0	0	1518.000000	0.000000	0.000000
53	53	0	0	0	4	0	-0.101462	-0.143239	0	0	1521.000000	0.000000	0.000000
54	54	0	0	0	4	0	-0.137270	-0.179049	0	0	1522.000000	0.000000	0.000000
55	55	0	0	0	4	0	-0.098477	-0.179049	0	0	1514.000000	0.000000	0.000000
56	56	0	0	0	4	0	-0.137270	-0.220826	0	0	1518.000000	0.000000	0.000000
57	57	0	0	0	4	0	-0.092508	-0.182033	0	0	1508.000000	0.000000	0.000000
58	58	0	0	0	4	0	-0.155176	-0.208890	0	0	1519.000000	0.000000	0.000000
59	59	0	0	0	4	0	-0.089525	-0.199938	0	0	1511.000000	0.000000	0.000000
60	60	0	0	0	4	0	-0.134287	-0.199938	0	0	1515.000000	0.000000	0.000000
61	61	0	0	0	4	0	-0.131303	-0.244700	0	0	1517.000000	0.000000	0.000000
62	62	0	0	0	4	0	-0.092508	-0.217842	0	0	1511.000000	0.000000	0.000000
63	63	0	0	0	4	0	-0.128318	-0.146223	0	0	1515.000000	0.000000	0.000000
64	64	0	0	0	4	0	-0.101462	0.023873	0	0	1510.000000	0.000000	0.000000
65	65	0	0	0	4	0	-0.232762	0.005969	0	0	1519.000000	0.000000	0.000000
66	66	0	0	0	4	0	-0.205907	0.005969	0	0	1516.000000	0.000000	0.000000
67	67	0	0	0	4	0	-0.182032	-0.017905	0	0	1517.000000	0.000000	0.000000
